source,detector,type,cond,beta,se,tstat,dfe,p,q,power
4,6,hbo,Video:group_G,-20.5237495236602,7.76810393588809,-2.64205392886698,56,0.0106633727160029,0.139211864660356,0.547599107645772
4,6,hbr,PDF:group_G,3.57465265636189,3.72186050146026,0.960447780071121,56,0.340958642774948,0.652268707917292,0.382682187858124
4,6,hbr,Video:group_G,-1.30342608646327,3.73221991274686,-0.349236142814523,56,0.728221871649701,0.865993577096942,0.544468470779083
5,2,hbo,PDF:group_G,2.78190155286622,3.82890343838482,0.726553071299112,56,0.470525956529052,0.752841530446483,0.422646447357186
5,2,hbo,Video:group_G,-4.36211087472343,3.89052202049502,-1.12121480144415,56,0.266981495060248,0.613882577945886,0.362695284974933
5,2,hbr,PDF:group_G,3.73757165771048,2.01589272991017,1.85405284827682,56,0.0690008280834489,0.337074044082897,0.30960269568877
5,2,hbr,Video:group_G,-0.0386309566159122,2.03262295227141,-0.0190054710209501,56,0.984904295845372,0.984904295845372,0.915923814532176
5,4,hbo,PDF:group_G,-3.44596728895045,5.72460139859648,-0.601957594775997,56,0.549631884990476,0.780122675470353,0.452049791926576
5,4,hbo,Video:group_G,0.246296712567953,5.70174714814951,0.0431967090381915,56,0.965698385992506,0.983379281419592,0.851487987618547
5,4,hbr,PDF:group_G,0.376912693426448,3.24513228521125,0.116147096728265,56,0.907951481457502,0.977920313757249,0.728869147600051
5,4,hbr,Video:group_G,2.78119226074302,3.27647543878727,0.84883659673409,56,0.399586256592538,0.717624297553946,0.39978151416457
5,5,hbo,PDF:group_G,3.17125334299479,5.65778678505924,0.560511285326138,56,0.577366466798778,0.784440502746525,0.463631623107088
5,5,hbo,Video:group_G,-0.844240558593066,5.63787088476851,-0.149744571283798,56,0.881504160979223,0.969654577077145,0.689479369781352
5,5,hbr,PDF:group_G,0.968802002088817,2.72557181256382,0.355449083243016,56,0.723588585853046,0.865993577096942,0.541377374381722
5,5,hbr,Video:group_G,1.80230465845111,2.74187563913898,0.65732545733441,56,0.513664402680226,0.764620706588548,0.438077786827201
5,7,hbo,PDF:group_G,4.52812964387837,7.69672717580364,0.588318845198715,56,0.558683698620472,0.780383579025422,0.455746968267324
5,7,hbo,Video:group_G,-1.98170650233281,7.78169192036484,-0.254662677810033,56,0.799916523600374,0.938568721024439,0.599908280025458
5,7,hbr,PDF:group_G,-5.19047719034661,3.94112045714994,-1.31700546755177,56,0.193200757603414,0.56463698735631,0.3437001559163
5,7,hbr,Video:group_G,-2.76100779151971,3.96175695091097,-0.696914986388764,56,0.488739052057191,0.756646772838832,0.429000999943676
6,3,hbo,PDF:group_G,-0.197357030428218,5.63883624514917,-0.0349996030826388,56,0.972204516858005,0.983379281419592,0.870986369917685
6,3,hbo,Video:group_G,-6.44804677844761,5.64373145334411,-1.14251481165478,56,0.258101449214317,0.613882577945886,0.360378478038678
6,3,hbr,PDF:group_G,-4.92063018654371,2.72759474846959,-1.80401805997926,56,0.0766077372915676,0.337074044082897,0.31201706029702
6,3,hbr,Video:group_G,2.88416880391137,2.71689911580038,1.06156639646213,56,0.292989412201446,0.613882577945886,0.369566541415105
6,6,hbo,PDF:group_G,14.6945672107133,5.74514119872793,2.55773821781212,56,0.0132697471465972,0.139211864660356,0.514230944608397
6,6,hbo,Video:group_G,-9.58966606343697,5.71869676131501,-1.67689710849991,56,0.0991368498615719,0.41543060894373,0.318730241302201
6,6,hbr,PDF:group_G,-1.60794777947978,2.49156892301816,-0.645355528648989,56,0.521332299946737,0.764620706588548,0.44096555433065
6,6,hbr,Video:group_G,-1.37600716065046,2.46955859139873,-0.557187493118397,56,0.579619657721825,0.784440502746525,0.464606749138863
