source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
4,4,hbo,0,PDF:group_G-Video:group_G,8.23743004682695,3.1786575191558,2.59148083654343,56,0.0121641106262221,0.0223008694814072,0.527610534671566
4,4,hbr,0,PDF:group_G-Video:group_G,6.89391602692576,1.1320065327052,6.0899966808947,56,1.08467216779023e-07,7.95426256379501e-07,0.999618229364545
4,6,hbo,0,PDF:group_G-Video:group_G,19.0254190111576,5.24456912401449,3.62764195900128,56,0.000619451139034448,0.00209660385519352,0.863131302840848
4,6,hbr,0,PDF:group_G-Video:group_G,4.87807874282516,2.38031967112739,2.04933765913667,56,0.0451245359644366,0.0763645993244312,0.319217336870011
5,2,hbo,0,PDF:group_G-Video:group_G,7.14401242758966,2.52343805465086,2.83106312612778,56,0.00643247443412393,0.0141514437550727,0.620808975527121
5,2,hbr,0,PDF:group_G-Video:group_G,3.7762026143264,1.36350239836612,2.76948732825949,56,0.00760118466510334,0.0159262916792641,0.597306261317884
5,4,hbo,0,PDF:group_G-Video:group_G,-3.6922640015184,3.96965770306773,-0.93012150610997,56,0.356300525480851,0.401980080029678,0.38702839539187
5,4,hbr,0,PDF:group_G-Video:group_G,-2.40427956731657,2.25252420515604,-1.06737124591743,56,0.290384155512245,0.336962988130637,0.368871737575255
5,5,hbo,0,PDF:group_G-Video:group_G,4.01549390158786,3.74338673336793,1.07269010326783,56,0.288011109054027,0.336962988130637,0.36824021250898
5,5,hbr,0,PDF:group_G-Video:group_G,-0.833502656362291,1.84774647873419,-0.451091459761995,56,0.653665605685124,0.672753396350248,0.500048676000347
5,7,hbo,0,PDF:group_G-Video:group_G,6.50983614621117,4.57433287089704,1.42312252517263,56,0.16024805690079,0.207379838342199,0.335224652860293
5,7,hbr,0,PDF:group_G-Video:group_G,-2.42946939882691,2.82308198991054,-0.860573446860427,56,0.393142588762813,0.432456847639095,0.397832661870251
6,3,hbo,0,PDF:group_G-Video:group_G,6.25068974801939,3.99041202796375,1.56642715193725,56,0.122882561995857,0.168963522744304,0.32534099703744
6,3,hbr,0,PDF:group_G-Video:group_G,-7.80479899045508,1.93446172076672,-4.03461020017582,56,0.000167441018431365,0.000669764073725459,0.931908731839135
6,6,hbo,0,PDF:group_G-Video:group_G,24.2842332741503,3.70241162693314,6.55903117241071,56,1.84746188728181e-08,2.03220807600999e-07,0.999914016620288
6,6,hbr,0,PDF:group_G-Video:group_G,-0.231940618829319,1.57135701118382,-0.147605297318514,56,0.883184446370134,0.883184446370134,0.691782845033096
7,4,hbo,0,PDF:group_G-Video:group_G,5.55879522525964,2.99893450988693,1.85359006905063,56,0.0690681544118284,0.11255551089335,0.309624484306325
7,4,hbr,0,PDF:group_G-Video:group_G,-5.6718601904941,1.98594050767875,-2.85600710019435,56,0.00600814849885259,0.0139136070499744,0.630206127195437
7,6,hbo,0,PDF:group_G-Video:group_G,15.1449050424431,3.43342240921704,4.41102294951722,56,4.72545115916571e-05,0.000259899813754114,0.967875430883191
7,6,hbr,0,PDF:group_G-Video:group_G,9.92942807825001,1.56803968559502,6.33238314659243,56,4.354274401703e-08,3.83176147349864e-07,0.999821362772413
7,7,hbo,0,PDF:group_G-Video:group_G,28.4518745671493,2.96852516703369,9.58451519398094,56,2.07977420160757e-13,4.57550324353666e-12,0.999999998370086
7,7,hbr,0,PDF:group_G-Video:group_G,8.20514125365407,1.17730572301018,6.96942271942315,56,3.88776200449882e-09,5.7020509399316e-08,0.999978140679277
